"","Names","Links","urls","dob"
"1920.1","FOURCADE Martin","/athletes/id/btfra11409198801/","https://www.biathlonworld.com/athletes/id/btfra11409198801/",1988-09-14
"1920.2","DESTHIEUX Simon","/athletes/id/btfra10312199101/","https://www.biathlonworld.com/athletes/id/btfra10312199101/",1991-12-03
"1920.3","FILLON MAILLET Quentin","/athletes/id/btfra11608199201/","https://www.biathlonworld.com/athletes/id/btfra11608199201/",1992-08-16
"1920.4","BOE Johannes Thingnes","/athletes/id/btnor11605199301/","https://www.biathlonworld.com/athletes/id/btnor11605199301/",1993-05-16
"1920.5","LOGINOV Alexander","/athletes/id/btrus13101199201/","https://www.biathlonworld.com/athletes/id/btrus13101199201/",1992-01-31
"1920.6","BOE Tarjei","/athletes/id/btnor12907198801/","https://www.biathlonworld.com/athletes/id/btnor12907198801/",1988-07-29
"1920.7","JACQUELIN Emilien","/athletes/id/btfra11107199501/","https://www.biathlonworld.com/athletes/id/btfra11107199501/",1995-07-11
"1920.8","BJOENTEGAARD Erlend","/athletes/id/btnor13007199001/","https://www.biathlonworld.com/athletes/id/btnor13007199001/",1990-07-30
"1920.9","DOLL Benedikt","/athletes/id/btger12403199001/","https://www.biathlonworld.com/athletes/id/btger12403199001/",1990-03-24
"1920.10","DALE Johannes","/athletes/id/btnor12305199701/","https://www.biathlonworld.com/athletes/id/btnor12305199701/",1997-05-23
"1920.11","ELISEEV Matvey","/athletes/id/btrus13103199301/","https://www.biathlonworld.com/athletes/id/btrus13103199301/",1993-03-31
"1920.12","KUEHN Johannes","/athletes/id/btger11911199101/","https://www.biathlonworld.com/athletes/id/btger11911199101/",1991-11-19
"1920.13","CHRISTIANSEN Vetle Sjaastad","/athletes/id/btnor11205199201/","https://www.biathlonworld.com/athletes/id/btnor11205199201/",1992-05-12
"1920.14","PEIFFER Arnd","/athletes/id/btger11803198701/","https://www.biathlonworld.com/athletes/id/btger11803198701/",1987-03-18
"1920.15","FAK Jakov","/athletes/id/btcro10108198701/","https://www.biathlonworld.com/athletes/id/btcro10108198701/",1987-08-01
"1920.16","EBERHARD Julian","/athletes/id/btaut10911198601/","https://www.biathlonworld.com/athletes/id/btaut10911198601/",1986-11-09
"1920.17","HOFER Lukas","/athletes/id/btita13009198901/","https://www.biathlonworld.com/athletes/id/btita13009198901/",1989-09-30
"1920.18","PIDRUCHNYI Dmytro","/athletes/id/btukr10511199101/","https://www.biathlonworld.com/athletes/id/btukr10511199101/",1991-11-05
"1920.19","HORN Philipp","/athletes/id/btger10811199401/","https://www.biathlonworld.com/athletes/id/btger10811199401/",1994-11-08
"1920.20","CLAUDE Fabien","/athletes/id/btfra12212199401/","https://www.biathlonworld.com/athletes/id/btfra12212199401/",1994-12-22
"1920.21","WINDISCH Dominik","/athletes/id/btita10611198901/","https://www.biathlonworld.com/athletes/id/btita10611198901/",1989-11-06
"1920.22","KRCMAR Michal","/athletes/id/btcze12301199101/","https://www.biathlonworld.com/athletes/id/btcze12301199101/",1991-01-23
"1920.23","EDER Simon","/athletes/id/btaut12302198301/","https://www.biathlonworld.com/athletes/id/btaut12302198301/",1983-02-23
"1920.24","ILIEV Vladimir","/athletes/id/btbul11703198701/","https://www.biathlonworld.com/athletes/id/btbul11703198701/",1987-03-17
"1920.25","RASTORGUJEVS Andrejs","/athletes/id/btlat12705198801/","https://www.biathlonworld.com/athletes/id/btlat12705198801/",1988-05-27
"1920.26","LEITNER Felix","/athletes/id/btaut13112199601/","https://www.biathlonworld.com/athletes/id/btaut13112199601/",1996-12-31
"1920.27","PRYMA Artem","/athletes/id/btukr13004198701/","https://www.biathlonworld.com/athletes/id/btukr13004198701/",1987-05-30
"1920.28","MORAVEC Ondrej","/athletes/id/btcze10906198401/","https://www.biathlonworld.com/athletes/id/btcze10906198401/",1984-06-09
"1920.29","SCHEMPP Simon","/athletes/id/btger11411198801/","https://www.biathlonworld.com/athletes/id/btger11411198801/",1988-11-14
"1920.30","WEGER Benjamin","/athletes/id/btsui10510198901/","https://www.biathlonworld.com/athletes/id/btsui10510198901/",1989-10-05
"1920.31","CLAUDE Florent","/athletes/id/btfra11111199101/","https://www.biathlonworld.com/athletes/id/btfra11111199101/",1991-11-11
"1920.32","GUIGONNAT Antonin","/athletes/id/btfra10207199101/","https://www.biathlonworld.com/athletes/id/btfra10207199101/",1991-07-02
"1920.33","SAMUELSSON Sebastian","/athletes/id/btswe12803199701/","https://www.biathlonworld.com/athletes/id/btswe12803199701/",1997-03-28
"1920.34","YALIOTNAU Raman","/athletes/id/btblr11005199301/","https://www.biathlonworld.com/athletes/id/btblr11005199301/",1993-05-10
"1920.35","GARANICHEV Evgeniy","/athletes/id/btrus11302198801/","https://www.biathlonworld.com/athletes/id/btrus11302198801/",1988-02-13
"1920.36","LAPSHIN Timofei","/athletes/id/btrus10302198801/","https://www.biathlonworld.com/athletes/id/btrus10302198801/",1988-02-03
"1920.37","PONSILUOMA Martin","/athletes/id/btswe10809199501/","https://www.biathlonworld.com/athletes/id/btswe10809199501/",1995-09-08
"1920.38","PORSHNEV Nikita","/athletes/id/btrus10503199601/","https://www.biathlonworld.com/athletes/id/btrus10503199601/",1996-03-05
"1920.39","SEPPALA Tero","/athletes/id/btfin12501199601/","https://www.biathlonworld.com/athletes/id/btfin12501199601/",1996-01-25
"1920.40","NELIN Jesper","/athletes/id/btswe10310199201/","https://www.biathlonworld.com/athletes/id/btswe10310199201/",1992-10-03
"1920.41","BORMOLINI Thomas","/athletes/id/btita12908199101/","https://www.biathlonworld.com/athletes/id/btita12908199101/",1991-08-29
"1920.42","STVRTECKY Jakub","/athletes/id/btcze12112199801/","https://www.biathlonworld.com/athletes/id/btcze12112199801/",1998-12-21
"1920.43","LANGER Thierry","/athletes/id/btbel12410199101/","https://www.biathlonworld.com/athletes/id/btbel12410199101/",1991-10-24
"1920.44","DUDCHENKO Anton","/athletes/id/btukr11712199601/","https://www.biathlonworld.com/athletes/id/btukr11712199601/",1996-12-17
"1920.45","STROLIA Vytautas","/athletes/id/btltu12811199201/","https://www.biathlonworld.com/athletes/id/btltu12811199201/",1992-11-28
"1920.46","DOHERTY Sean","/athletes/id/btusa10806199501/","https://www.biathlonworld.com/athletes/id/btusa10806199501/",1995-06-08
"1920.47","BOCHARNIKOV Sergey","/athletes/id/btrus12802198801/","https://www.biathlonworld.com/athletes/id/btrus12802198801/",1988-02-28
"1920.48","NAWRATH Philipp","/athletes/id/btger11302199301/","https://www.biathlonworld.com/athletes/id/btger11302199301/",1993-02-13
"1920.49","ANEV Krasimir","/athletes/id/btbul11606198701/","https://www.biathlonworld.com/athletes/id/btbul11606198701/",1987-06-16
"1920.50","CHENG Fangming","/athletes/id/btchn12803199401/","https://www.biathlonworld.com/athletes/id/btchn12803199401/",1994-03-28
"1920.51","MALYSHKO Dmitry","/athletes/id/btrus11903198701/","https://www.biathlonworld.com/athletes/id/btrus11903198701/",1987-03-19
"1920.52","BAUER Klemen","/athletes/id/btslo10901198601/","https://www.biathlonworld.com/athletes/id/btslo10901198601/",1986-01-09
"1920.53","BABIKOV Anton","/athletes/id/btrus10208199101/","https://www.biathlonworld.com/athletes/id/btrus10208199101/",1991-08-02
"1920.54","DOLDER Mario","/athletes/id/btsui12206199001/","https://www.biathlonworld.com/athletes/id/btsui12206199001/",1990-06-22
"1920.55","LANDERTINGER Dominik","/athletes/id/btaut11303198801/","https://www.biathlonworld.com/athletes/id/btaut11303198801/",1988-03-13
"1920.56","REES Roman","/athletes/id/btger10103199301/","https://www.biathlonworld.com/athletes/id/btger10103199301/",1993-03-01
"1920.57","SMOLSKI Anton","/athletes/id/btblr11612199601/","https://www.biathlonworld.com/athletes/id/btblr11612199601/",1996-12-16
"1920.58","ANDERSEN Aleksander Fjeld","/athletes/id/btnor11504199702/","https://www.biathlonworld.com/athletes/id/btnor11504199702/",1997-04-15
"1920.59","YEREMIN Roman","/athletes/id/btkaz11401199701/","https://www.biathlonworld.com/athletes/id/btkaz11401199701/",1997-01-14
"1920.60","LATYPOV Eduard","/athletes/id/btrus12103199401/","https://www.biathlonworld.com/athletes/id/btrus12103199401/",1994-03-21
"1920.61","VACLAVIK Adam","/athletes/id/btcze11802199401/","https://www.biathlonworld.com/athletes/id/btcze11802199401/",1994-02-18
"1920.62","GOW Scott","/athletes/id/btcan10611199001/","https://www.biathlonworld.com/athletes/id/btcan10611199001/",1990-11-06
"1920.63","NORDGREN Leif","/athletes/id/btusa11705198901/","https://www.biathlonworld.com/athletes/id/btusa11705198901/",1989-05-18
"1920.64","TRSAN Rok","/athletes/id/btslo12808199201/","https://www.biathlonworld.com/athletes/id/btslo12808199201/",1992-08-28
"1920.65","WIESTNER Serafin","/athletes/id/btsui12007199001/","https://www.biathlonworld.com/athletes/id/btsui12007199001/",1990-07-20
"1920.66","LABASTAU Mikita","/athletes/id/btblr11904199701/","https://www.biathlonworld.com/athletes/id/btblr11904199701/",1997-04-19
"1920.67","BIRKELAND Lars Helge","/athletes/id/btnor11102198801/","https://www.biathlonworld.com/athletes/id/btnor11102198801/",1988-02-11
"1920.68","SLESINGR Michal","/athletes/id/btcze10302198301/","https://www.biathlonworld.com/athletes/id/btcze10302198301/",1983-02-03
"1920.69","KAUKENAS Tomas","/athletes/id/btltu10105199001/","https://www.biathlonworld.com/athletes/id/btltu10105199001/",1990-05-01
"1920.70","FEMLING Peppe","/athletes/id/btswe12403199201/","https://www.biathlonworld.com/athletes/id/btswe12403199201/",1992-03-24
"1920.71","LESSER Erik","/athletes/id/btger11705198801/","https://www.biathlonworld.com/athletes/id/btger11705198801/",1988-05-17
"1920.72","KRUPCIK Tomas","/athletes/id/btcze10801198801/","https://www.biathlonworld.com/athletes/id/btcze10801198801/",1988-01-08
"1920.73","DOVZAN Miha","/athletes/id/btslo12201199401/","https://www.biathlonworld.com/athletes/id/btslo12201199401/",1994-01-22
"1920.74","SEMENOV Sergii","/athletes/id/btukr12807198801/","https://www.biathlonworld.com/athletes/id/btukr12807198801/",1988-07-28
"1920.75","DOMBROVSKI Karol","/athletes/id/btltu10806199101/","https://www.biathlonworld.com/athletes/id/btltu10806199101/",1991-06-08
"1920.76","BURKHALTER Joscha","/athletes/id/btsui11107199601/","https://www.biathlonworld.com/athletes/id/btsui11107199601/",1996-07-11
"1920.77","EBERHARD Tobias","/athletes/id/btaut11201198501/","https://www.biathlonworld.com/athletes/id/btaut11201198501/",1985-01-12
"1920.78","TKALENKO Ruslan","/athletes/id/btukr11311199201/","https://www.biathlonworld.com/athletes/id/btukr11311199201/",1992-11-13
"1920.79","STENERSEN Torstein","/athletes/id/btnor11610198801/","https://www.biathlonworld.com/athletes/id/btnor11610198801/",1988-10-16
"1819.19","L'ABEE-LUND Henrik","/athletes/id/btnor12303198601/","https://www.biathlonworld.com/athletes/id/btnor12303198601/",1986-03-26
"1819.32","GOW Christian","/athletes/id/btcan12803199301/","https://www.biathlonworld.com/athletes/id/btcan12803199301/",1993-03-28
"1819.37","FOURCADE Simon","/athletes/id/btfra12504198401/","https://www.biathlonworld.com/athletes/id/btfra12504198401/",1984-04-25
"1819.45","FINELLO Jeremy","/athletes/id/btfra11305199201/","https://www.biathlonworld.com/athletes/id/btfra11305199201/",1992-05-13
"1819.52","PETTERSEN Sindre","/athletes/id/btnor10311199601/","https://www.biathlonworld.com/athletes/id/btnor10311199601/",1996-11-03
"1819.53","POVARNITSYN Alexander","/athletes/id/btrus11204199401/","https://www.biathlonworld.com/athletes/id/btrus11204199401/",1994-04-12
"1819.56","FRATZSCHER Lucas","/athletes/id/btger10607199401/","https://www.biathlonworld.com/athletes/id/btger10607199401/",1994-07-06
"1819.58","JAEGER Martin","/athletes/id/btsui12012198701/","https://www.biathlonworld.com/athletes/id/btsui12012198701/",1987-12-20
"1819.59","CHEPELIN Vladimir","/athletes/id/btblr11507198801/","https://www.biathlonworld.com/athletes/id/btblr11507198801/",1988-07-15
"1819.60","ERMITS Kalev","/athletes/id/btest11909199201/","https://www.biathlonworld.com/athletes/id/btest11909199201/",1992-09-19
"1819.63","HIIDENSALO Olli","/athletes/id/btfin10202199101/","https://www.biathlonworld.com/athletes/id/btfin10202199101/",1991-02-02
"1819.68","OTCENAS Martin","/athletes/id/btsvk12508198701/","https://www.biathlonworld.com/athletes/id/btsvk12508198701/",1987-08-25
"1819.69","GUZIK Grzegorz","/athletes/id/btpol12008199101/","https://www.biathlonworld.com/athletes/id/btpol12008199101/",1991-08-20
"1819.70","LESSING Roland","/athletes/id/btest11404197801/","https://www.biathlonworld.com/athletes/id/btest11404197801/",1978-04-14
"1819.74","GERDZHIKOV Dimitar","/athletes/id/btbul12703199201/","https://www.biathlonworld.com/athletes/id/btbul12703199201/",1992-03-27
"1819.75","SINAPOV Anton","/athletes/id/btbul10109199301/","https://www.biathlonworld.com/athletes/id/btbul10109199301/",1993-09-01
"1819.76","MILLAR Aidan","/athletes/id/btcan10112199501/","https://www.biathlonworld.com/athletes/id/btcan10112199501/",1995-12-01
"1819.77","CHENAL Thierry","/athletes/id/btita10211199201/","https://www.biathlonworld.com/athletes/id/btita10211199201/",1992-11-02
"1819.79","KAZAR Matej","/athletes/id/btsvk11005198301/","https://www.biathlonworld.com/athletes/id/btsvk11005198301/",1983-05-10
"1819.82","TSVETKOV Maxim","/athletes/id/btrus10301199201/","https://www.biathlonworld.com/athletes/id/btrus10301199201/",1992-01-03
"1819.83","TACHIZAKI Mikito","/athletes/id/btjpn11705198801/","https://www.biathlonworld.com/athletes/id/btjpn11705198801/",1988-05-17
"1819.84","ZAHKNA Rene","/athletes/id/btest10210199401/","https://www.biathlonworld.com/athletes/id/btest10210199401/",1994-10-02
"1819.85","TYSHCHENKO Artem","/athletes/id/btukr12212199301/","https://www.biathlonworld.com/athletes/id/btukr12212199301/",1993-12-22
"1819.89","MONTELLO Giuseppe","/athletes/id/btita10712199201/","https://www.biathlonworld.com/athletes/id/btita10712199201/",1992-12-07
"1819.90","BURNOTTE Jules","/athletes/id/btcan12912199601/","https://www.biathlonworld.com/athletes/id/btcan12912199601/",1996-12-29
"1819.91","GRONMAN Tuomas","/athletes/id/btfin11909199101/","https://www.biathlonworld.com/athletes/id/btfin11909199101/",1991-09-19
"1819.92","HASILLA Tomas","/athletes/id/btsvk12308199001/","https://www.biathlonworld.com/athletes/id/btsvk12308199001/",1990-08-23
"1819.93","LESIUK Taras","/athletes/id/btukr12108199601/","https://www.biathlonworld.com/athletes/id/btukr12108199601/",1996-08-21
"1819.95","KOBONOKI Tsukasa","/athletes/id/btjpn10512199101/","https://www.biathlonworld.com/athletes/id/btjpn10512199101/",1991-12-05
"1819.97","PUCHIANU Cornel","/athletes/id/btrou12710198901/","https://www.biathlonworld.com/athletes/id/btrou12710198901/",1989-10-27
"1819.99","BEGUE Aristide","/athletes/id/btfra11608199401/","https://www.biathlonworld.com/athletes/id/btfra11608199401/",1994-08-16
"1819.100","BROWN Jake","/athletes/id/btusa12803199201/","https://www.biathlonworld.com/athletes/id/btusa12803199201/",1992-03-28
"1718.3","SHIPULIN Anton","/athletes/id/btrus12108198701/","https://www.biathlonworld.com/athletes/id/btrus12108198701/",1987-08-21
"1718.19","LINDSTROEM Fredrik","/athletes/id/btswe12407198901/","https://www.biathlonworld.com/athletes/id/btswe12407198901/",1989-07-24
"1718.24","SVENDSEN Emil Hegle","/athletes/id/btnor11207198501/","https://www.biathlonworld.com/athletes/id/btnor11207198501/",1985-07-12
"1718.32","BURKE Tim","/athletes/id/btusa10302198201/","https://www.biathlonworld.com/athletes/id/btusa10302198201/",1982-02-03
"1718.35","BAILEY Lowell","/athletes/id/btusa11506198101/","https://www.biathlonworld.com/athletes/id/btusa11506198101/",1981-07-15
"1718.43","BJOERNDALEN Ole Einar","/athletes/id/btnor12701197401/","https://www.biathlonworld.com/athletes/id/btnor12701197401/",1974-01-27
"1718.56","BEATRIX Jean Guillaume","/athletes/id/btfra12403198801/","https://www.biathlonworld.com/athletes/id/btfra12403198801/",1988-03-24
"1718.57","SMITH Nathan","/athletes/id/btcan12512198501/","https://www.biathlonworld.com/athletes/id/btcan12512198501/",1985-12-25
"1718.63","ROESCH Michael","/athletes/id/btger10405198301/","https://www.biathlonworld.com/athletes/id/btger10405198301/",1983-05-04
"1718.64","GJESBAKK Fredrik","/athletes/id/btnor11509199201/","https://www.biathlonworld.com/athletes/id/btnor11509199201/",1992-09-15
"1718.67","VOLKOV Alexey","/athletes/id/btrus10504198801/","https://www.biathlonworld.com/athletes/id/btrus10504198801/",1988-04-05
"1718.69","SIEMAKOV Volodymyr","/athletes/id/btrus11105198501/","https://www.biathlonworld.com/athletes/id/btrus11105198501/",1985-05-11
"1718.80","SOUKUP Jaroslav","/athletes/id/btcze11207198201/","https://www.biathlonworld.com/athletes/id/btcze11207198201/",1982-07-12
"1718.82","GREEN Brendan","/athletes/id/btcan10411198601/","https://www.biathlonworld.com/athletes/id/btcan10411198601/",1986-11-04
"1718.84","PASHCHENKO Petr","/athletes/id/btrus11001199101/","https://www.biathlonworld.com/athletes/id/btrus11001199101/",1991-01-10
"1718.88","MESOTITSCH Daniel","/athletes/id/btaut12205197601/","https://www.biathlonworld.com/athletes/id/btaut12205197601/",1976-05-22
"1718.93","MUIZNIEKS Oskars","/athletes/id/btlat10912198901/","https://www.biathlonworld.com/athletes/id/btlat10912198901/",1989-12-09
"1718.94","VARABEI Maksim","/athletes/id/btblr11012199501/","https://www.biathlonworld.com/athletes/id/btblr11012199501/",1995-12-10
"1718.98","BUTA George","/athletes/id/btrou10405199301/","https://www.biathlonworld.com/athletes/id/btrou10405199301/",1993-05-04
"1617.51","GRAF Florian","/athletes/id/btger12407198801/","https://www.biathlonworld.com/athletes/id/btger12407198801/",1988-07-24
"1617.54","WAEGER Lorenz","/athletes/id/btaut10708199101/","https://www.biathlonworld.com/athletes/id/btaut10708199101/",1991-08-07
"1617.60","BISCHL Matthias","/athletes/id/btger12108198801/","https://www.biathlonworld.com/athletes/id/btger12108198801/",1988-08-21
"1617.65","KOIV Kauri","/athletes/id/btest12507198301/","https://www.biathlonworld.com/athletes/id/btest12507198301/",1983-07-25
"1617.67","SAVITSKIY Yan","/athletes/id/btkaz12904198701/","https://www.biathlonworld.com/athletes/id/btkaz12904198701/",1987-04-29
"1617.69","KILCHYTSKYY Vitaliy","/athletes/id/btukr11706198801/","https://www.biathlonworld.com/athletes/id/btukr11706198801/",1988-06-17
"1617.72","GJERMUNDSHAUG Vegard","/athletes/id/btnor11001199201/","https://www.biathlonworld.com/athletes/id/btnor11001199201/",1992-01-10
"1617.78","FAUR Remus","/athletes/id/btrom10606198901/","https://www.biathlonworld.com/athletes/id/btrom10606198901/",1989-06-06
"1617.79","SHOPIN Yury","/athletes/id/btrus11902199301/","https://www.biathlonworld.com/athletes/id/btrus11902199301/",1993-02-19
"1617.80","ABASHEU Dzmitry","/athletes/id/btblr12201199101/","https://www.biathlonworld.com/athletes/id/btblr12201199101/",1991-01-22
"1617.84","KOMATZ David","/athletes/id/btaut11012199101/","https://www.biathlonworld.com/athletes/id/btaut11012199101/",1991-12-10
"1617.91","DORFER Matthias","/athletes/id/btger10703199301/","https://www.biathlonworld.com/athletes/id/btger10703199301/",1993-03-07
"1617.92","SCHOMMER Paul","/athletes/id/btusa10606199201/","https://www.biathlonworld.com/athletes/id/btusa10606199201/",1992-06-06
"1617.96","CURRIER Russell","/athletes/id/btusa11806198701/","https://www.biathlonworld.com/athletes/id/btusa11806198701/",1987-06-26
"1617.99","OBLAK Lenart","/athletes/id/btslo12706199101/","https://www.biathlonworld.com/athletes/id/btslo12706199101/",1991-06-27
"1617.102","CRNKOVIC Kresimir","/athletes/id/btcro10401199501/","https://www.biathlonworld.com/athletes/id/btcro10401199501/",1995-01-04
"1617.104","WILLEITNER Michael","/athletes/id/btger10509199001/","https://www.biathlonworld.com/athletes/id/btger10509199001/",1990-09-05
"1617.106","DRINOVEC Mitja","/athletes/id/btslo12202199601/","https://www.biathlonworld.com/athletes/id/btslo12202199601/",1996-02-22
"1516.19","BIRNBACHER Andreas","/athletes/id/btger11109198102/","https://www.biathlonworld.com/athletes/id/btger11109198102/",1981-09-11
"1516.32","SLEPOV Alexey","/athletes/id/btrus11912198601/","https://www.biathlonworld.com/athletes/id/btrus11912198601/",1986-12-19
"1516.36","GROSSEGGER Sven","/athletes/id/btaut11711198701/","https://www.biathlonworld.com/athletes/id/btaut11711198701/",1987-11-17
"1516.40","ZHYRNYI Oleksandr","/athletes/id/btrus12502198701/","https://www.biathlonworld.com/athletes/id/btrus12502198701/",1987-02-25
"1516.54","OS Alexander","/athletes/id/btnor12101198001/","https://www.biathlonworld.com/athletes/id/btnor12101198001/",1980-01-21
"1516.56","DAROZHKA Aliaksandr","/athletes/id/btblr11908199101/","https://www.biathlonworld.com/athletes/id/btblr11908199101/",1991-08-19
"1516.58","DAVIES Macx","/athletes/id/btcan12412199201/","https://www.biathlonworld.com/athletes/id/btcan12412199201/",1992-12-24
"1516.62","DE LORENZI Christian","/athletes/id/btita11802198101/","https://www.biathlonworld.com/athletes/id/btita11802198101/",1981-02-18
"1516.67","BOEHM Daniel","/athletes/id/btger11606198601/","https://www.biathlonworld.com/athletes/id/btger11606198601/",1986-06-16
"1516.70","DYUZHEV Dmitriy","/athletes/id/btrus10501199001/","https://www.biathlonworld.com/athletes/id/btrus10501199001/",1990-01-05
"1516.74","LIADOV Yuryi","/athletes/id/btblr10312198701/","https://www.biathlonworld.com/athletes/id/btblr10312198701/",1987-12-03
"1516.83","KLETCHEROV Michail","/athletes/id/btbul10312198201/","https://www.biathlonworld.com/athletes/id/btbul10312198201/",1982-12-03
"1516.95","BRAUN Maxim","/athletes/id/btkaz11604199301/","https://www.biathlonworld.com/athletes/id/btkaz11604199301/",1993-04-16
"1516.96","RUSINOV Dmytro","/athletes/id/btukr12602199001/","https://www.biathlonworld.com/athletes/id/btukr12602199001/",1990-02-26
"1516.98","MATIASKO Miroslav","/athletes/id/btsvk11407198201/","https://www.biathlonworld.com/athletes/id/btsvk11407198201/",1982-07-14
